,category,transit_period,transit_duration,transit_depth,transit_depth.1,planet_radius,star_temperature,star_radius,star_surface_gravity,star_brightness
1728,CANDIDATE,1.5339665,2.128,470.0,470.0,4.28924,6694.0,1.92,4.02,-0.5238449956781834
1732,CANDIDATE,2.3933087,5.507,150.0,150.0,2.03235,6393.0,1.72,4.08,-1.432279951121798
1733,CANDIDATE,2.5577037,2.577,530.0,530.0,3.9587,6039.0,1.7,4.03,-0.9269199288674292
1734,CANDIDATE,6.3951381,4.047,510.0,510.0,2.10043,5563.0,0.98,4.45,-0.5494545597567829
1735,CANDIDATE,5.9016526,2.417,2450.0,2450.0,13.6737,6127.0,1.74,4.02,-0.8917527284341377
1736,CANDIDATE,5.4927168,7.906,5290.0,5290.0,18.5905,9623.0,2.37,4.08,-0.985552351889486
1738,CANDIDATE,6.8979432,3.401,550.0,550.0,2.18563,6016.0,0.99,4.49,-0.8182937156823663
1739,CANDIDATE,6.9551801,2.062,770.0,770.0,2.29124,4742.0,0.75,4.57,-0.7861285933348431
1740,CANDIDATE,1.0021853,0.5001924,2319.9972324,2319.9972324,5.0155627,5071.0,0.874822,4.48308,0.1138821633987071
1741,CANDIDATE,2.0944084,4.133,320.0,320.0,1.39836,5298.0,0.77,4.62,-1.0439390946437062
1742,CANDIDATE,5.563087,4.533,2520.0,2520.0,9.04133,5491.4,1.72,3.85,-0.4546133990063722
1743,CANDIDATE,2.0988541,4.365,350.0,350.0,1.66554,5531.0,0.97,4.45,-1.4948640891751217
1744,CANDIDATE,4.6410823,2.849,660.0,660.0,2.86438,5809.0,1.12,4.36,-0.8708607156331748
1748,CANDIDATE,8.011385,5.197,7890.0,7890.0,11.7844,5923.0,1.29,4.25,-0.3095333804941155
1749,CANDIDATE,2.3018922,3.706,1260.0,1260.0,12.146,6919.0,3.45,3.54,-0.2429362605098161
1750,CANDIDATE,11.7248927,5.928,8540.0,8540.0,8.72604,5980.0,0.91,4.56,0.8408751953524366
1752,CANDIDATE,3.5104148,2.0,308.8285985,308.8285985,1.328654,4020.0,0.639371,4.438,-1.3486199995683836
1753,CANDIDATE,,4.646,21624.0,21624.0,11.1787,4490.0,0.74,4.55,0.7142365136527604
