category,transit_period,transit_duration,transit_depth,transit_depth,planet_radius,star_temperature,star_radius,star_surface_gravity,star_brightness
CANDIDATE,28.2692,4.2504,,,3.35,5631.0,1.29,4.2,0.05105945187113732
CANDIDATE,28.270642,4.3,813.0,813.0,2.79,5545.0,0.9,,0.05105945187113732
CANDIDATE,28.2671,4.224,757.0,757.0,2.94,,1.028,,0.05105945187113732
CANDIDATE,28.271761,,,,2.7100633,5548.0,0.933556,4.42,0.05105945187113732
CANDIDATE,28.2717,4.104,,,,5564.0,1.02594,4.40705,0.05105945187113732
CANDIDATE,4.73172,1.2,245.0,245.0,1.7,,1.028,,0.05105945187113732
CANDIDATE,0.782022,1.416,267.0,267.0,1.58,,0.94,,0.537702935650967
CANDIDATE,0.78214992,1.31,225.99999999999997,225.99999999999997,1.29,5144.0,0.79,,0.537702935650967
CANDIDATE,15.4769,3.528,1729.9999999999998,1729.9999999999998,2.89,,0.66,,1.347555750763265
CANDIDATE,6.4498648,1.63,814.0,814.0,2.63,5395.0,0.85,,0.17973335547708247
CANDIDATE,6.45027,1.632,606.0,606.0,2.29,,0.894,,0.17973335547708247
FALSE POSITIVE,1.19478,7.104,,,1.65,3671.0,0.235,5.053,2.3946320184950545
FALSE POSITIVE,,,,,,4786.0,0.7,,0.10106542388861293
FALSE POSITIVE,1.5771832,3.96,24900.000000000004,24900.000000000004,33.4,8210.0,1.94,,-2.5041237524364908
FALSE POSITIVE,1.57753,0.0,,,26.0,7747.0,1.93,4.08,-2.5041237524364908
CANDIDATE,3.262038,2.2536,24289.0,24289.0,,10318.0,5.27397,,-0.7966027567177896
CANDIDATE,4.4654,7.488,15900.0,15900.0,45.0,,2.3,,-1.2234830056474644
CANDIDATE,21.140574,4.63,50100.0,50100.0,31.5,6205.0,1.29,,-0.30873961508387454
CANDIDATE,5.74372,4.2048,7985.0,7985.0,,,,,-0.5526711859008321
CANDIDATE,3.2923818,1.76,9240.0,9240.0,19.6,7824.0,1.87,,1.2158327025221083
CANDIDATE,6.90487,3.5088,,,53.0,6599.0,1.45,4.241,1.2158327025221083
CANDIDATE,6.905053,3.8736,25067.0,25067.0,,,,,1.2158327025221083
CANDIDATE,6.9055211,3.65,26500.0,26500.0,33.6,6722.0,1.89,,1.2158327025221083
CANDIDATE,1.696374,3.7296,37790.0,37790.0,35.3,,1.793,,1.03288402440939
CANDIDATE,3.046136,2.52,37780.0,37780.0,76.0,,1.698,,-1.101517220238986
CANDIDATE,3.0459383,2.21,38200.0,38200.0,19.0,5529.0,0.89,,-1.101517220238986
CANDIDATE,3.04622,2.5488,,,29.0,5529.0,0.89,4.5,-1.101517220238986
CANDIDATE,3.23792,1.4448,431.0,431.0,,4500.0,0.639668,4.67558,0.05715774114156112
CANDIDATE,3.238542,1.27,499.0,499.0,1.67,4446.0,0.69,,0.05715774114156112
CANDIDATE,3.2367,1.2192,,,1.58,4863.0,0.74,4.597,0.05715774114156112
CANDIDATE,6.2719092,5.32,92899.99999999999,92899.99999999999,60.0,7254.0,1.81,,-1.589380361872901
FALSE POSITIVE,23.7782,5.0712,,,98.0,7498.0,2.09,4.03,-1.4674145764644217
CANDIDATE,1.42636,2.328,301.59999999999997,301.59999999999997,6.66,,4.28,,-1.4064316837601827
CANDIDATE,3.979287,4.82,35000.0,35000.0,37.5,7430.0,1.84,,-0.9795514348305079
CANDIDATE,2.1417519,6.93,248000.0,248000.0,86.2,6492.0,1.59,,-1.5283974691686608
CANDIDATE,2.86136,2.16,1169.0,1169.0,,3697.0,0.50129,4.73628,1.7036958441560222
CANDIDATE,3.10622,2.712,1950.0,1950.0,,3636.0,0.501135,4.73641,1.8256616295645016
CANDIDATE,1.814553,3.4368,12890.0,12890.0,,4618.0,10.0566,,1.581730058747544
CANDIDATE,17.1541,8.472,19480.0,19480.0,,4930.0,16.1325,,1.2768155952263474
CANDIDATE,12.1507,3.84,290.0,290.0,1.48,,0.83,,-0.7356198640135504
CANDIDATE,2.4343734,7.44,387000.0,387000.0,61.4,5568.0,0.9,,-0.30873961508387454
CANDIDATE,1.8490876,3.12,27400.000000000004,27400.000000000004,17.3,5693.0,0.96,,-0.24775672237963545
CANDIDATE,2.620724,2.46,8890.0,8890.0,11.7,6013.0,1.14,,-0.7356198640135504
