category,transit_period,transit_duration,transit_depth,transit_depth,planet_radius,star_temperature,star_radius,star_surface_gravity,star_brightness
CP,13.9028391,2.1264429,647.2701039,647.2701039,2.6136848,5876.0,0.983215,4.48,-1.741402093606422
CP,10.1826983,2.8275109,667.4752458,667.4752458,3.0538057,6153.0,1.14582,4.34814,-1.7189784083127202
CP,6.441006,1.812,914.0,914.0,2.56374,4867.0,0.8,4.438,-2.5718136522699027
KP,3.1743504,2.751086,15457.3247576,15457.3247576,14.9172256,5943.0,1.15706,4.42524,0.06591018092611534
FP,20.0731588,3.8449215,1152.9645461,1152.9645461,4.0506906,6033.0,1.14849,4.37,-0.6434992508109689
FP,2.66903,1.548,3110.0,3110.0,9.36823,5803.5,1.56,4.07,-0.597181474630536
FP,6.63371,2.122,1555.34,1555.34,2.75375,4138.1,0.63,4.54,-0.6118242636611222
PC,2.94308,4.073,4490.0,4490.0,45.3525,4437.0,3.13,,-0.6151326762454399
FP,341.2811281,6.303026,972.5797241,972.5797241,4.7531892,6058.6,1.39203,4.2,-2.4516692619394407
PC,10.8680523,2.375,1553.0,1553.0,2.90726,4664.0,0.76,4.55,-0.7860060595354231
PC,11.1149,2.26,900.0,900.0,14.7645,5042.0,4.94,,-0.9141764137278394
CP,4.0782392,4.8475616,6046.6959687,6046.6959687,13.898174,6501.0,1.74836,4.08,-0.9539386316393487
FP,7.14386,1.467,11146.4,11146.4,22.1531,7860.0,1.91,4.15,-0.9942522516482438
FP,7.04083,2.979,1580.0,1580.0,8.46404,5317.0,0.91,4.49,-1.0863976688114345
KP,2.1061569,1.4688934,12142.2238514,12142.2238514,13.086872,5380.0,0.940697,4.4337,0.9920206369359404
FP,2.4545635,2.321,4248.0,4248.0,11.1276,6610.0,1.64,4.15,-1.154832795787021
FP,11.4756978,0.808,8341.0,8341.0,14.1098,7262.0,2.13,4.0,-1.3336096091395397
FP,2.78186,2.456,490.0,490.0,4.92567,6819.0,2.21,3.92,-1.2545140416144882
FP,6.4410082,1.798,7076.0,7076.0,4.59203,3469.0,0.53,4.71,-1.1611126530072522
APC,2.4887726,2.632,4852.0,4852.0,,8048.0,,4.438,-2.1142724452388517
APC,4.45199,2.109,8483.38,8483.38,15.8858,6708.3,1.57,4.2,-0.6358408883472734
PC,5.0100708,2.0644756,409.4812214,409.4812214,2.3107394,5551.0,0.906282,4.46214,-1.248019750245274
PC,2.2281625,2.015,630.0,630.0,2.56778,5731.0,1.02,4.43,-0.7096675024973024
FP,4.13812,3.911,5560.0,5560.0,,4898.4,,,-0.6466238626961572
APC,10.95663,3.588,3830.0,3830.0,23.9726,6456.0,2.07,3.92,-0.6502998766787313
KP,2.4997996,2.865171,14621.2059647,14621.2059647,13.8516093,5650.0,1.13732,4.28867,0.024309956023318965
FP,1.66226,3.321,6030.0,6030.0,13.3343,7301.0,1.64,4.23,-0.7091773672996259
FP,4.07611,2.062,1454.18,1454.18,,,,,-0.3083693093996343
FP,3.6245513,3.042,1299.0,1299.0,4.3503,6317.0,1.38,,-0.7783476970717277
APC,1.20928,1.886,11883.8,11883.8,15.1764,5159.8,1.27,4.23,-0.8111867553160556
APC,3.5187707,2.408,5634.0,5634.0,14.0061,6690.0,1.49,4.24,-2.659180251255747
PC,0.7724825,1.3744974,211.3168519,211.3168519,4.1624907,8271.0,2.5027299,3.95,-2.1549536666460045
FP,1.6268695,3.231,1502.0,1502.0,2.36498,5034.0,0.73,4.64,-0.7388305467590561
FP,2.32439,4.453,2704.18,2704.18,,8268.5,,3.93,-2.6023245683252676
FP,13.5499,1.795,1180.0,1180.0,6.24633,6209.0,1.63,4.09,-1.123647943834852
FP,4.43651,3.365,1520.0,1520.0,19.9664,7101.9,2.32,3.91,-1.7041518185830056
KP,3.372877,2.63426,17163.60419,17163.60419,14.201803,6050.0,1.02,4.45061,0.3832114545219659
CP,8.34998,1.836,16680.0,16680.0,11.1424,4236.0,0.74,4.52,-0.8705543811346277
CP,4.0686405,1.8373729,2650.0950013,2650.0950013,3.7548333,4236.0,0.741921,4.52,-0.8705543811346277
PC,0.5860366,0.8098934,410.5241553,410.5241553,4.906408,5579.0,2.39803,3.67,-1.3948152419493978
FP,1.5502952,2.938,411.0,411.0,3.34528,7851.0,1.86,4.17,-1.4302887768812373
FP,1.80709,3.297,450.0,450.0,4.86242,6244.0,2.2,3.84,-1.5005741642280537
FP,18.6922101,7.765,11126.0,11126.0,18.1458,6277.0,1.65,4.09,-1.5486625538100935
CP,8.0277326,4.284,5705.0,5705.0,9.06883,5962.7,1.15,4.38,-1.5532820780481953
CP,12.5187279,5.38,2320.0,2320.0,5.58857,5729.0,0.98,4.47,-1.6099233268296904
CP,6.2586065,3.201,813.0,813.0,2.51593,5729.0,0.98,4.47,-1.6099233268296904
CP,26.3208756,4.414,800.0,800.0,2.71349,5729.0,0.98,4.47,-1.6099233268296904
CP,18.795547,4.3425576,470.6731965,470.6731965,2.1597669,5729.0,0.977727,4.47,-1.6099233268296904
PC,1.3206356,1.6000996,1052.4255997,1052.4255997,34.7561624,4919.6,6.3070302,,-1.5673550849114823
FP,0.64971,2.076,620.0,620.0,6.23181,9994.0,2.59,4.02,-1.6283585369522988
PC,4.4780798,4.513,1054.0,1054.0,11.3678,7947.0,1.83,4.2,-1.655364986344277
KP,3.2887898,3.4367717,7005.7247902,7005.7247902,10.5135877,5800.0,1.24175,4.28004,-0.5841928918921073
FP,13.7431084,2.285,5688.0,5688.0,12.05,5941.5,1.34,,-1.6394110856599056
FP,16.9487087,4.2887767,156467.5479643,156467.5479643,45.2204505,5894.7,1.1179,4.37,-1.661264988786308
FP,3.3686634,3.012,3288.0,3288.0,42.2321,7518.0,2.68,3.82,-1.791163069550533
FP,11.2071839,4.366,3276.0,3276.0,17.4989,6152.0,2.24,3.84,-1.795702946819012
KP,4.8878037,2.184,4279.0,4279.0,5.29152,4757.3,0.76,4.56,-1.8723907251854783
FP,2.97164,1.534,7350.0,7350.0,,8562.5,,,-1.8764343405663102
FP,0.660179,1.6349369,473.0939303,473.0939303,6.1672487,8598.7,2.62432,4.1,-1.9360102738438933
FP,10.9278415,2.468,2743.0,2743.0,49.1695,6259.0,2.92,3.59,-1.9595490167123095
KP,5.5514888,4.335,9493.0,9493.0,15.8043,6403.9,1.55,4.16,-2.2337428996725084
APC,2.3202418,2.3817612,5082.9417064,5082.9417064,,8737.5,,,-2.234171767970475
KP,4.7423709,2.4988145,12650.8110411,12650.8110411,10.5505922,5377.0,0.877585,4.42476,0.9054505076463217
KP,1.4810903,4.1588291,6788.5145388,6788.5145388,20.3402421,9435.0,2.28773,4.11,-2.4395139090370623
KP,3.4741012,3.317,15748.0,15748.0,21.2912,8894.8,1.62,4.38,-2.4578204586702816
FA,6.5011911,5.5463587,4501.3454064,4501.3454064,,5485.0,,,-2.1621218939120235
APC,6.0360758,1.255,987.0,987.0,9.86763,6528.3,1.69,4.21,-1.9351035237281913
PC,21.745537,4.196,659.0,659.0,2.10208,5704.0,0.93,4.51,-1.3754549016411748
FP,1.32003,3.175,552.468,552.468,,,,,-1.13516612098025
FP,1.6865822,2.429,1770.0,1770.0,,,,,-1.1399449391575958
FP,13.0727479,3.044,4080.0,4080.0,35.7944,5709.8,3.59,3.37,-1.2005379029703587
FP,2.9258727,4.075,6720.0,6720.0,24.4055,4884.5,1.3,,-1.2051941873482857
FP,0.73774,0.636,524.852,524.852,5.28215,6449.5,2.1,3.94,-1.2070321943395728
KP,2.7985802,2.3801043,16708.7151957,16708.7151957,11.9514993,4920.0,0.906655,4.49371,-0.318294547152584
FP,2.3664127,2.591,300.0,300.0,,,,,-1.2172637665910708
KP,1.7635881,3.092,6650.0,6650.0,,7986.1,,,-0.8168233100893357
PC,7.3166682,3.255,3210.0,3210.0,,8730.0,,,-1.1706641626719736
PC,3.0771612,2.6914319,4703.2844346,4703.2844346,,9311.3,,,-1.2782182051121194
FP,3.2077145,2.708,9640.0,9640.0,,,,,-1.3687761969038346
KP,2.2552845,2.05,20820.0,20820.0,14.688,5787.0,0.96,4.5,-1.1008382770729792
FP,1.8824539,2.46,1391.0,1391.0,8.29008,5900.4,1.13,4.39,-1.1049002725237231
FP,15.196,1.792,1970.0,1970.0,4.96345,5807.0,1.14,,-0.7207568113447343
FP,2.1358631,1.559,10325.0,10325.0,23.6019,5969.0,1.5,4.17,-0.7246778929261463
PC,6.7075429,2.125,11920.0,11920.0,17.4647,6134.3,1.24,,-0.5656902881798186
KP,3.5862962,3.3710943,5729.3246858,5729.3246858,16.4747611,5704.8,2.00441,3.84,0.132813635408963
FP,1.8296155,2.166,1406.0,1406.0,29.3616,7875.0,3.5,3.61,-0.7442833008332079
FP,11.1876137,3.183,4924.0,4924.0,31.8624,7266.0,2.05,4.06,-0.7697090642126792
FP,7.8513949,6.835,22029.0,22029.0,,,,,-0.773201277496124
CP,7.0643978,2.424,8268.0,8268.0,9.39131,5429.6,0.96,4.44,-0.77810262947289
CP,8.9534775,2.696,1136.0,1136.0,2.35888,5029.5,0.76,4.61,-0.8019354534599118
FP,7.5022708,2.605,1760.0,1760.0,5.55812,6229.0,1.27,4.31,-0.833978042008015
PC,14.0077666,5.8727493,5924.8349672,5924.8349672,12.4023108,6557.7,1.57435,4.18,-0.8495398345342459
