category,transit_period,transit_duration,transit_depth,transit_depth.1,planet_radius,star_temperature,star_radius,star_surface_gravity,star_brightness
CANDIDATE,0.5971314,0.468,910.0,910.0,9.08382,7710.0,2.28,3.98,-0.969990559363255
CANDIDATE,1.4821386,2.1867078,2102.6568299,2102.6568299,13.7339261,7066.0,2.6647301,3.78,-0.6952085141658443
FALSE POSITIVE,0.9209526,1.8602735,360.8801529,360.8801529,5.7349089,6553.0,2.8908899,3.65,-0.8907111911390753
CONFIRMED,9.188506,2.492,460.0,460.0,2.16591,5876.0,0.98,4.48,-1.741402093606422
CONFIRMED,13.9028391,2.1264429,647.2701039,647.2701039,2.6136848,5876.0,0.983215,4.48,-1.741402093606422
CONFIRMED,10.1826983,2.8275109,667.4752458,667.4752458,3.0538057,6153.0,1.14582,4.34814,-1.7189784083127202
CONFIRMED,6.441006,1.812,914.0,914.0,2.56374,4867.0,0.8,4.438,-2.5718136522699027
CONFIRMED,3.1743504,2.751086,15457.3247576,15457.3247576,14.9172256,5943.0,1.15706,4.42524,0.0659101809261153
FALSE POSITIVE,20.0731588,3.8449215,1152.9645461,1152.9645461,4.0506906,6033.0,1.14849,4.37,-0.6434992508109689
FALSE POSITIVE,2.66903,1.548,3110.0,3110.0,9.36823,5803.5,1.56,4.07,-0.597181474630536
FALSE POSITIVE,6.63371,2.122,1555.34,1555.34,2.75375,4138.1,0.63,4.54,-0.6118242636611222
FALSE POSITIVE,341.2811281,6.303026,972.5797241,972.5797241,4.7531892,6058.6,1.39203,4.2,-2.4516692619394407
CANDIDATE,10.8680523,2.375,1553.0,1553.0,2.90726,4664.0,0.76,4.55,-0.7860060595354231
CONFIRMED,4.0782392,4.8475616,6046.6959687,6046.6959687,13.898174,6501.0,1.74836,4.08,-0.9539386316393488
FALSE POSITIVE,7.14386,1.467,11146.4,11146.4,22.1531,7860.0,1.91,4.15,-0.9942522516482438
FALSE POSITIVE,7.04083,2.979,1580.0,1580.0,8.46404,5317.0,0.91,4.49,-1.0863976688114343
CONFIRMED,2.1061569,1.4688934,12142.2238514,12142.2238514,13.086872,5380.0,0.940697,4.4337,0.9920206369359404
FALSE POSITIVE,2.4545635,2.321,4248.0,4248.0,11.1276,6610.0,1.64,4.15,-1.154832795787021
FALSE POSITIVE,11.4756978,0.808,8341.0,8341.0,14.1098,7262.0,2.13,4.0,-1.3336096091395395
FALSE POSITIVE,2.78186,2.456,490.0,490.0,4.92567,6819.0,2.21,3.92,-1.2545140416144882
FALSE POSITIVE,6.4410082,1.798,7076.0,7076.0,4.59203,3469.0,0.53,4.71,-1.1611126530072522
CANDIDATE,4.45199,2.109,8483.38,8483.38,15.8858,6708.3,1.57,4.2,-0.6358408883472734
CANDIDATE,5.0100708,2.0644756,409.4812214,409.4812214,2.3107394,5551.0,0.906282,4.46214,-1.248019750245274
CANDIDATE,2.2281625,2.015,630.0,630.0,2.56778,5731.0,1.02,4.43,-0.7096675024973024
CANDIDATE,10.95663,3.588,3830.0,3830.0,23.9726,6456.0,2.07,3.92,-0.6502998766787313
CONFIRMED,2.4997996,2.865171,14621.2059647,14621.2059647,13.8516093,5650.0,1.13732,4.28867,0.0243099560233189
FALSE POSITIVE,1.66226,3.321,6030.0,6030.0,13.3343,7301.0,1.64,4.23,-0.7091773672996259
CANDIDATE,1.20928,1.886,11883.8,11883.8,15.1764,5159.8,1.27,4.23,-0.8111867553160556
CANDIDATE,3.5187707,2.408,5634.0,5634.0,14.0061,6690.0,1.49,4.24,-2.659180251255747
CANDIDATE,0.7724825,1.3744974,211.3168519,211.3168519,4.1624907,8271.0,2.5027299,3.95,-2.1549536666460045
FALSE POSITIVE,1.6268695,3.231,1502.0,1502.0,2.36498,5034.0,0.73,4.64,-0.7388305467590561
FALSE POSITIVE,13.5499,1.795,1180.0,1180.0,6.24633,6209.0,1.63,4.09,-1.123647943834852
FALSE POSITIVE,4.43651,3.365,1520.0,1520.0,19.9664,7101.9,2.32,3.91,-1.7041518185830056
CONFIRMED,3.372877,2.63426,17163.60419,17163.60419,14.201803,6050.0,1.02,4.45061,0.3832114545219659
CONFIRMED,8.34998,1.836,16680.0,16680.0,11.1424,4236.0,0.74,4.52,-0.8705543811346277
CONFIRMED,4.0686405,1.8373729,2650.0950013,2650.0950013,3.7548333,4236.0,0.741921,4.52,-0.8705543811346277
CANDIDATE,0.5860366,0.8098934,410.5241553,410.5241553,4.906408,5579.0,2.39803,3.67,-1.3948152419493978
FALSE POSITIVE,1.5502952,2.938,411.0,411.0,3.34528,7851.0,1.86,4.17,-1.4302887768812371
FALSE POSITIVE,1.80709,3.297,450.0,450.0,4.86242,6244.0,2.2,3.84,-1.5005741642280537
FALSE POSITIVE,18.6922101,7.765,11126.0,11126.0,18.1458,6277.0,1.65,4.09,-1.5486625538100935
CONFIRMED,8.0277326,4.284,5705.0,5705.0,9.06883,5962.7,1.15,4.38,-1.5532820780481953
CONFIRMED,12.5187279,5.38,2320.0,2320.0,5.58857,5729.0,0.98,4.47,-1.6099233268296904
CONFIRMED,6.2586065,3.201,813.0,813.0,2.51593,5729.0,0.98,4.47,-1.6099233268296904
CONFIRMED,26.3208756,4.414,800.0,800.0,2.71349,5729.0,0.98,4.47,-1.6099233268296904
CONFIRMED,18.795547,4.3425576,470.6731965,470.6731965,2.1597669,5729.0,0.977727,4.47,-1.6099233268296904
FALSE POSITIVE,0.64971,2.076,620.0,620.0,6.23181,9994.0,2.59,4.02,-1.6283585369522988
CANDIDATE,4.4780798,4.513,1054.0,1054.0,11.3678,7947.0,1.83,4.2,-1.655364986344277
CONFIRMED,3.2887898,3.4367717,7005.7247902,7005.7247902,10.5135877,5800.0,1.24175,4.28004,-0.5841928918921073
FALSE POSITIVE,16.9487087,4.2887767,156467.5479643,156467.5479643,45.2204505,5894.7,1.1179,4.37,-1.661264988786308
FALSE POSITIVE,3.3686634,3.012,3288.0,3288.0,42.2321,7518.0,2.68,3.82,-1.791163069550533
