category,transit_period,transit_duration,transit_depth,transit_depth.1,planet_radius,star_temperature,star_radius,star_surface_gravity,star_brightness
CONFIRMED,9.75192101,4.793,418.0,418.0,2.76,5775.0,1.053,4.405,0.809408882215068
CONFIRMED,38.5576546,5.794,993.0,993.0,4.02,5775.0,1.053,4.405,0.809408882215068
CONFIRMED,3.525632539,2.59959,22335.0,22335.0,11.58,5150.0,0.793,4.572,0.6924792065235797
CANDIDATE,34.84398644,2.9315,4523.6,4523.6,7.61,5509.0,0.871,4.482,1.0245017424376837
CONFIRMED,7.748094239,3.5957,2472.1,2472.1,5.52,5973.0,1.085,4.439,1.014396708735951
CONFIRMED,23.96793669,3.827,1182.3,1182.3,1.8,3747.0,0.524,4.728,0.8296189496185357
CONFIRMED,8.29561738,1.3421,824.3,824.3,1.82,3747.0,0.524,4.728,0.8296189496185357
CONFIRMED,8.11437482,2.2736,1558.0,1558.0,2.1,3692.0,0.517,4.753,1.1638068498972982
FALSE POSITIVE,38.036729482,4.34617,82872.0,82872.0,27.5,5575.0,0.932,4.521,0.8714826606685748
CANDIDATE,4.64090031,35.512,2450.6,2450.6,30.09,6463.0,0.826,4.5,0.7256814601149897
FALSE POSITIVE,3.747838198,5.0642,616.0,616.0,13.65,5514.0,0.826,4.569,-0.5547706675189699
CONFIRMED,14.74914825,6.0995,430.2,430.2,2.89,5847.0,1.402,4.191,-1.2830548821653431
CONFIRMED,21.81295996,4.3791,1175.4,1175.4,3.38,5601.0,0.999,4.41,0.9205642529341378
FALSE POSITIVE,7.91936937,3.3148,15148.0,15148.0,10.34,5690.0,0.776,4.588,1.1118381051455246
CANDIDATE,1.028436523,1.8606,8098.0,8098.0,72.77,6228.0,0.99,4.428,0.6765998678494267
CONFIRMED,15.37562369,3.3169,15337.0,15337.0,11.01,4986.0,0.833,4.496,1.557181376143357
CONFIRMED,8.10363271,3.161,887.9,887.9,2.11,4861.0,0.732,4.574,0.7393954344244854
CONFIRMED,4.71510843,2.506,417.5,417.5,1.46,4861.0,0.732,4.574,0.7393954344244854
CONFIRMED,6.365839713,2.9721,780.7,780.7,2.44,5776.0,0.849,4.554,0.5957595982355577
FALSE POSITIVE,5.97581754,3.065,962.4,962.4,3.86,6108.0,0.997,4.471,0.9248949816634524
FALSE POSITIVE,2.446737317,4.7211,1177.9,1177.9,26.25,5764.0,0.863,4.548,0.5459562178484426
CONFIRMED,3.04033046,1.8411,10859.0,10859.0,8.99,5035.0,0.791,4.519,0.5510087346993092
CONFIRMED,15.33528675,3.897,3081.4,3081.4,5.0,5251.0,0.817,4.581,1.1479275112231453
CONFIRMED,7.95825328,4.377,50.0,50.0,1.06,5847.0,1.402,4.191,-1.2830548821653431
CONFIRMED,31.33046135,5.176,5073.8,5073.8,6.5,5251.0,0.817,4.581,1.1479275112231453
FALSE POSITIVE,3.9043425,3.831,16228.0,16228.0,12.28,5810.0,0.898,4.526,0.5423472772406801
FALSE POSITIVE,9.286358079,3.49949,44791.0,44791.0,17.61,5670.0,0.821,4.523,0.7942513316624683
FALSE POSITIVE,3.951405455,2.1862,2453.9,2453.9,31.44,6046.0,0.869,4.539,0.8527161695082125
CONFIRMED,23.65369415,8.2183,3341.8,3341.8,7.89,5739.0,1.384,4.191,0.5914288695062431
CONFIRMED,13.23352214,6.7372,504.6,504.6,3.06,5739.0,1.384,4.191,0.5914288695062431
CONFIRMED,6.15560285,4.9843,285.0,285.0,2.32,5739.0,1.384,4.191,0.5914288695062431
CONFIRMED,2.090811305,3.388,115.9,115.9,1.62,5739.0,1.384,4.191,0.5914288695062431
CONFIRMED,3.180027898,3.5797,120.3,120.3,1.53,5847.0,1.402,4.191,-1.2830548821653431
CONFIRMED,50.4467417,7.159,370.3,370.3,2.67,5739.0,1.384,4.191,0.5914288695062431
CONFIRMED,11.76307164,2.9076,1037.3,1037.3,2.35,4959.0,0.756,4.603,0.6809305965787413
CONFIRMED,56.2279271,3.57,862.7,862.7,2.37,4959.0,0.756,4.603,0.6809305965787413
FALSE POSITIVE,2.384052875,3.0918,1268.1,1268.1,17.06,4794.0,0.701,4.58,1.1342135369136497
CONFIRMED,7.953547,2.6312,875.4,875.4,2.25,4768.0,0.779,4.536,1.0071788275204268
CONFIRMED,4.14451656,2.3421,391.8,391.8,1.48,4768.0,0.779,4.536,1.0071788275204268
FALSE POSITIVE,4.859386384,2.2757,6044.3,6044.3,38.33,6072.0,0.988,4.47,0.7552747730986384
CONFIRMED,10.526294577,2.5211,9768.0,9768.0,8.24,5386.0,0.793,4.553,0.7509440443693239
CONFIRMED,4.583520948,2.7055,3812.1,3812.1,5.39,5815.0,0.877,4.54,0.7379518581813814
CONFIRMED,3.76181843,3.5176,510.6,510.6,2.66,5653.0,0.949,4.472,0.7162982145348086
CONFIRMED,8.20396958,2.9667,1024.4,1024.4,3.01,5015.0,0.826,4.499,0.8021910009995442
CONFIRMED,14.49645186,4.016,647.5,647.5,3.01,5015.0,0.826,4.499,0.8021910009995442
CONFIRMED,6.54626149,2.75,655.9,655.9,2.19,5251.0,0.817,4.581,1.1479275112231453
CONFIRMED,12.71809866,3.0957,1149.4,1149.4,2.31,4702.0,0.686,4.592,0.8115742465797253
CONFIRMED,36.06588163,4.3246,1563.8,1563.8,2.64,4702.0,0.686,4.592,0.8115742465797253
CONFIRMED,4.190425659,2.8589,2877.4,2877.4,6.21,6073.0,1.135,4.392,0.7256814601149897
CONFIRMED,3.709870784,3.0694,2020.3,2020.3,4.35,5727.0,0.978,4.463,0.9501575659177866
CONFIRMED,16.3297527,6.271,1187.5,1187.5,3.75,5878.0,0.987,4.444,0.8534379576297645
CONFIRMED,27.807566216,4.21587,25391.0,25391.0,13.84,5862.0,0.785,4.584,0.8787005418840986
CONFIRMED,80.8723469,11.195,3604.6,3604.6,7.59,5510.0,1.238,4.222,0.6758780797278747
FALSE POSITIVE,3.166465862,2.9381,4357.2,4357.2,26.82,4968.0,0.704,4.575,1.2518650007266912
CONFIRMED,24.99324319,5.9409,269.6,269.6,2.29,5718.0,1.317,4.181,-1.362451575536107
CONFIRMED,10.35533116,3.1775,750.6,750.6,2.47,5501.0,0.918,4.462,0.5437908534837853
CONFIRMED,16.08518937,3.984,1442.4,1442.4,3.68,5239.0,0.826,4.523,0.6888702659158171
CANDIDATE,235.9986399,8.2284,20715.0,20715.0,10.59,4245.0,0.657,4.627,0.6549462242028551
CONFIRMED,7.49018305,2.7297,1123.6,1123.6,2.56,5103.0,0.787,4.562,0.9631497521057304
CONFIRMED,36.2761238,4.7865,1572.6,1572.6,3.03,5103.0,0.787,4.562,0.9631497521057304
CONFIRMED,17.46087931,2.2641,812.4,812.4,2.32,5103.0,0.787,4.562,0.9631497521057304
CONFIRMED,56.0560754,4.685,1626.0,1626.0,1.94,3593.0,0.491,4.757,1.143596782493831
CONFIRMED,41.408316686,5.0264,22839.0,22839.0,11.38,5522.0,0.747,4.586,0.6722691391201121
CANDIDATE,39.74893077,7.3051,15179.0,15179.0,14.21,6122.0,0.964,4.487,0.7790937811098674
CONFIRMED,5.715425977,2.5242,908.1,908.1,2.47,5237.0,0.826,4.572,0.5928724457493484
CONFIRMED,49.18394185,11.3364,1646.2,1646.2,8.2,5626.0,2.057,3.907,-1.1625162658660924
CONFIRMED,20.0261412,1.611,421.2,421.2,2.28,5237.0,0.826,4.572,0.5928724457493484
CANDIDATE,13.61014819,2.594,5732.9,5732.9,19.02,5697.0,0.903,4.46,0.5741059545889861
FALSE POSITIVE,10.44331991,2.743,1159.8,1159.8,2.66,4947.0,0.802,4.516,0.9248949816634524
CONFIRMED,2.237489571,1.8119,315.8,315.8,1.41,5265.0,0.81,4.58,0.5315204554173937
FALSE POSITIVE,5.851520671,3.11058,33004.0,33004.0,14.62,5532.0,0.806,4.53,0.7689887474081342
CONFIRMED,3.167893418,2.1814,781.2,781.2,2.62,5895.0,0.94,4.503,0.9155117360832712
CONFIRMED,4.311780262,2.7251,1154.0,1154.0,3.11,5527.0,0.927,4.484,0.9667586927134916
CONFIRMED,20.0504494,4.556,840.9,840.9,2.69,5527.0,0.927,4.484,0.9667586927134916
CONFIRMED,9.76734503,1.6585,569.1,569.1,2.67,5527.0,0.927,4.484,0.9667586927134916
CANDIDATE,119.0207044,8.1405,7430.5,7430.5,8.98,5453.0,1.062,4.342,0.5921506576277964
CONFIRMED,190.3200468,15.284,1141.7,1141.7,7.78,5626.0,2.057,3.907,-1.1625162658660924
FALSE POSITIVE,2.861159894,1.8832,1014.3,1014.3,4.37,6126.0,1.021,4.458,0.976863726415226
CONFIRMED,26.44439337,3.9783,1843.5,1843.5,3.91,5427.0,0.929,4.463,0.6448411905011207
CONFIRMED,51.53997972,6.3994,3644.3,3644.3,5.51,5427.0,0.929,4.463,0.6448411905011207
CONFIRMED,5.902245782,2.9003,702.3,702.3,2.43,5427.0,0.929,4.463,0.6448411905011207
CONFIRMED,2.382951591,1.8876,391.6,391.6,1.86,5427.0,0.929,4.463,0.6448411905011207
CONFIRMED,21.02250608,4.1072,1772.5,1772.5,3.07,5067.0,0.75,4.585,1.1508146637093546
CONFIRMED,3.219814777,2.0642,488.2,488.2,1.69,5103.0,0.787,4.562,0.9631497521057304
CONFIRMED,5.912273234,2.3254,961.4,961.4,1.73,4072.0,0.57,4.696,0.5567830396717278
CONFIRMED,8.98581901,2.8606,881.3,881.3,1.65,4072.0,0.57,4.696,0.5567830396717278
